symbol,date,open,close,high,low,volume
TQQQ,2014-10-03,1.66729,1.68911,1.70853,1.65149,160742477
TQQQ,2014-10-06,1.70254,1.67777,1.71607,1.66213,154092289
TQQQ,2014-10-07,1.65332,1.60657,1.66769,1.60525,169967381
TQQQ,2014-10-08,1.60982,1.69952,1.71425,1.57989,222963573
TQQQ,2014-10-09,1.69294,1.61485,1.70492,1.60798,233031840
TQQQ,2014-10-10,1.58719,1.49423,1.61498,1.49423,310148687
TQQQ,2014-10-13,1.48802,1.42401,1.52128,1.42129,285880968
TQQQ,2014-10-14,1.45209,1.4267,1.47987,1.41291,387957157
TQQQ,2014-10-15,1.3638,1.39621,1.4152,1.29959,507465668
TQQQ,2014-10-16,1.30891,1.37457,1.40692,1.30759,351611253
TQQQ,2014-10-17,1.42592,1.42833,1.46463,1.40164,276490532
TQQQ,2014-10-20,1.42305,1.48995,1.49253,1.4165,161734274
TQQQ,2014-10-21,1.54322,1.60622,1.60622,1.53364,221558493
TQQQ,2014-10-22,1.62122,1.58145,1.62745,1.57817,196742398
TQQQ,2014-10-23,1.62923,1.65381,1.67889,1.62057,177897876
TQQQ,2014-10-24,1.6607,1.69174,1.69567,1.64311,178422649
TQQQ,2014-10-27,1.68272,1.69806,1.70527,1.66194,144722884
TQQQ,2014-10-28,1.71881,1.77405,1.77405,1.71607,167029667
TQQQ,2014-10-29,1.75584,1.75283,1.76936,1.71594,187819580
TQQQ,2014-10-30,1.73031,1.7637,1.77608,1.71786,169436271
TQQQ,2014-10-31,1.85273,1.83652,1.85521,1.8192,184581034
TQQQ,2014-11-03,1.84592,1.8555,1.86796,1.83894,147594592
TQQQ,2014-11-04,1.83475,1.83573,1.84928,1.79706,144903327
TQQQ,2014-11-05,1.86941,1.83548,1.87141,1.81622,145066413
TQQQ,2014-11-06,1.83451,1.85129,1.85368,1.81115,101735374
TQQQ,2014-11-07,1.8622,1.84675,1.86421,1.81896,115891704
TQQQ,2014-11-10,1.84928,1.86543,1.8738,1.83489,108124194
TQQQ,2014-11-11,1.86816,1.88299,1.88329,1.85283,110459482
TQQQ,2014-11-12,1.86172,1.89347,1.89944,1.8611,100622711
TQQQ,2014-11-13,1.90485,1.91779,1.93935,1.89162,190520771
TQQQ,2014-11-14,1.91682,1.93552,1.93552,1.89766,119981028
TQQQ,2014-11-17,1.92038,1.91742,1.93513,1.89106,147850040
TQQQ,2014-11-18,1.92338,1.96043,1.96877,1.92314,116934947
TQQQ,2014-11-19,1.95478,1.93552,1.95478,1.90792,155575238
TQQQ,2014-11-20,1.90973,1.9611,1.96523,1.90494,103944770
TQQQ,2014-11-21,2.01237,1.97537,2.01801,1.95334,159963608
TQQQ,2014-11-24,1.98841,2.01992,2.0208,1.98281,131829637
TQQQ,2014-11-25,2.02713,2.02655,2.04524,2.01179,157980540
TQQQ,2014-11-26,2.03312,2.06794,2.07013,2.02655,110379926
TQQQ,2014-11-28,2.08533,2.09889,2.10962,2.07957,75911127
TQQQ,2014-12-01,2.07957,2.02137,2.0898,2.00038,163301680
TQQQ,2014-12-02,2.03132,2.04318,2.05835,2.01696,135724509
TQQQ,2014-12-03,2.05756,2.06161,2.06714,2.02097,137995895
TQQQ,2014-12-04,2.05241,2.05538,2.08021,2.03058,160901647
TQQQ,2014-12-05,2.06761,2.05684,2.07552,2.04332,118830127
TQQQ,2014-12-08,2.03997,2.01237,2.06714,1.98007,176907331
TQQQ,2014-12-09,1.94087,2.03191,2.03487,1.92038,178525999
TQQQ,2014-12-10,2.01992,1.93358,2.03477,1.92459,140282192
TQQQ,2014-12-11,1.95151,1.9638,2.03152,1.95046,142207545
TQQQ,2014-12-12,1.90638,1.89863,1.97298,1.89824,160796486
TQQQ,2014-12-15,1.92833,1.84208,1.9483,1.82309,246688794
TQQQ,2014-12-16,1.80378,1.75056,1.88578,1.7498,221842294
TQQQ,2014-12-17,1.75403,1.84466,1.8611,1.74779,191027586
TQQQ,2014-12-18,1.92674,1.97969,1.97969,1.90997,195258255
TQQQ,2014-12-19,1.98569,2.00182,2.02914,1.97178,161923859
TQQQ,2014-12-22,1.9956,2.02042,2.02195,1.99224,115336608
TQQQ,2014-12-23,2.04269,2.00101,2.04294,1.99119,121218121
TQQQ,2014-12-24,2.00738,2.00519,2.02615,2.00157,45995654
TQQQ,2014-12-26,2.01992,2.04582,2.05817,2.01983,90033528
