symbol,date,open,close,high,low,volume
QQQ,2016-02-08,89.821,90.1023,90.4915,88.4339,90831602
QQQ,2016-02-09,88.9172,89.8112,91.1759,88.7483,67114196
QQQ,2016-02-10,90.9121,90.1563,92.0218,90.0927,55385720
QQQ,2016-02-11,89.0034,90.0289,90.7433,88.7572,73363013
QQQ,2016-02-12,91.0806,91.3965,91.4904,90.1944,48068616
QQQ,2016-02-16,92.7197,93.4482,93.4482,92.1737,36568857
QQQ,2016-02-17,94.1735,95.5861,95.7166,93.8961,39929882
QQQ,2016-02-18,95.8617,94.4785,95.8813,94.3568,33304532
QQQ,2016-02-19,94.0784,94.7625,95.0617,93.8225,26284870
QQQ,2016-02-22,95.6235,96.2931,96.3913,95.5666,21860165
QQQ,2016-02-23,95.744,94.7157,95.9988,94.6491,26623618
QQQ,2016-02-24,93.6442,95.6332,95.744,93.0285,40612248
QQQ,2016-02-25,95.8127,96.5595,96.5595,94.9646,28980006
QQQ,2016-02-26,97.2399,96.4391,97.3065,96.2096,27344781
QQQ,2016-02-29,96.3225,95.5861,97.0744,95.5861,25930075
QQQ,2016-03-01,96.4578,98.6479,98.6479,96.1901,35285863
QQQ,2016-03-02,98.4919,98.6874,98.7071,97.894,29807796
QQQ,2016-03-03,98.5706,98.4919,98.6099,97.7664,22559036
QQQ,2016-03-04,98.6198,98.5311,99.1685,97.8545,29581847
QQQ,2016-03-07,98.0016,97.9038,98.5999,97.2302,27026282
QQQ,2016-03-08,97.2585,97.1172,98.0901,96.947,29905758
QQQ,2016-03-09,97.4899,97.7175,97.7372,96.9371,24120938
QQQ,2016-03-10,98.1878,97.5801,98.7169,96.3225,48258134
QQQ,2016-03-11,98.6577,99.2952,99.2952,98.3356,28929555
QQQ,2016-03-14,98.9333,99.4622,99.688,98.9134,27213552
QQQ,2016-03-15,99.1001,99.4236,99.5308,98.8057,28446582
QQQ,2016-03-16,99.1775,100.305,100.561,99.1685,33989498
QQQ,2016-03-17,100.001,100.249,100.471,99.6393,31770248
QQQ,2016-03-18,100.481,100.412,100.658,99.8741,40293263
QQQ,2016-03-21,100.209,100.796,100.895,100.169,18486466
QQQ,2016-03-22,100.229,101.117,101.364,100.209,20145704
QQQ,2016-03-23,100.915,100.277,100.993,100.041,22361905
QQQ,2016-03-24,99.7563,100.305,100.335,99.6293,20334946
QQQ,2016-03-28,100.581,100.159,100.6,99.981,14315365
QQQ,2016-03-29,99.9909,101.786,101.854,99.8151,26610830
QQQ,2016-03-30,102.404,102.288,102.925,102.069,23653170
QQQ,2016-03-31,102.228,102.138,102.578,101.98,17990256
QQQ,2016-04-01,101.561,103.226,103.255,101.383,26472765
QQQ,2016-04-04,103.176,102.825,103.274,102.568,16593189
QQQ,2016-04-05,102.02,101.835,102.424,101.699,18622383
QQQ,2016-04-06,101.95,103.512,103.551,101.94,23218612
QQQ,2016-04-07,102.925,102.02,103.089,101.591,27298081
QQQ,2016-04-08,102.657,101.95,102.905,101.6,22416791
QQQ,2016-04-11,102.404,101.581,102.905,101.571,23735107
QQQ,2016-04-12,101.63,102.424,102.607,101.022,26557193
QQQ,2016-04-13,103.186,103.717,103.884,103.081,23640154
QQQ,2016-04-14,102.885,103.726,104.108,102.885,17008714
QQQ,2016-04-15,103.657,103.483,103.854,103.226,19843157
QQQ,2016-04-18,103.196,104.011,104.05,103.118,16527273
QQQ,2016-04-19,104.217,103.394,104.217,102.766,34211463
QQQ,2016-04-20,103.384,103.483,103.953,103.041,17854634
QQQ,2016-04-21,103.424,103.493,103.854,103.021,14776919
QQQ,2016-04-22,102.148,101.931,102.607,101.117,36863154
QQQ,2016-04-25,101.6,101.931,101.94,101.432,14740709
QQQ,2016-04-26,102.138,101.432,102.316,101.117,16557752
QQQ,2016-04-27,100.384,100.6,100.835,99.7762,31448066
QQQ,2016-04-28,100.706,99.3937,101.334,99.1861,28111139
QQQ,2016-04-29,99.3347,98.8836,99.5903,98.0702,70093015
QQQ,2016-05-02,99.11,99.8061,99.942,98.7169,21640520
QQQ,2016-05-03,99.1001,98.8935,99.5408,98.6198,35052771
QQQ,2016-05-04,98.306,98.2374,98.6479,97.9819,26327896
QQQ,2016-05-05,98.5999,98.2075,98.8254,98.0016,19678926
QQQ,2016-05-06,97.7175,98.7464,98.7564,97.6193,23288328
QQQ,2016-05-09,98.7761,99.0213,99.4822,98.7071,17980522
QQQ,2016-05-10,99.3745,100.374,100.422,99.1861,22246309
QQQ,2016-05-11,100.209,99.4722,100.511,99.4425,18199896
QQQ,2016-05-12,99.7663,99.0312,99.8151,98.3256,26715101
QQQ,2016-05-13,99.0025,98.6675,99.5506,98.4623,20121604
QQQ,2016-05-16,98.8354,99.8931,100.258,98.7269,17585911
QQQ,2016-05-17,99.8251,98.6479,100.09,98.3739,27601955
QQQ,2016-05-18,98.4623,99.0124,99.5308,98.2275,28537095
QQQ,2016-05-19,98.6198,98.4821,98.865,97.7467,21304914
QQQ,2016-05-20,98.9034,99.5706,99.962,98.8354,28308589
QQQ,2016-05-23,99.6393,99.4425,100.031,99.3447,13834857
QQQ,2016-05-24,99.981,101.442,101.571,99.952,24754381
QQQ,2016-05-25,101.816,102.168,102.472,101.659,38012349
QQQ,2016-05-26,102.278,102.472,102.588,102.03,20534125
QQQ,2016-05-27,102.538,103.012,103.021,102.511,14478583
QQQ,2016-05-31,103.146,103.206,103.354,102.667,23456952
QQQ,2016-06-01,102.885,103.216,103.444,102.795,18625998
QQQ,2016-06-02,103.012,103.424,103.434,102.444,14398005
QQQ,2016-06-03,103.236,102.945,103.265,102.268,19994098
QQQ,2016-06-06,103.118,103.304,103.589,102.955,12688044
QQQ,2016-06-07,103.374,103.051,103.473,103.012,12163938
QQQ,2016-06-08,103.236,103.236,103.444,102.845,14289297
QQQ,2016-06-09,102.815,103.061,103.176,102.597,17601898
QQQ,2016-06-10,102.138,101.903,102.326,101.541,32576564
QQQ,2016-06-13,101.334,101.031,101.884,100.895,24214421
QQQ,2016-06-14,100.796,101.031,101.413,100.286,23997304
QQQ,2016-06-15,101.315,100.736,101.423,100.561,20557285
QQQ,2016-06-16,100.219,101.041,101.137,99.6003,26874774
QQQ,2016-06-17,100.825,99.8541,100.855,99.6193,28129076
QQQ,2016-06-20,101.022,100.471,101.511,100.403,19624672
QQQ,2016-06-21,100.638,100.796,101.013,100.422,20026764
QQQ,2016-06-22,100.875,100.551,101.462,100.461,19318434
QQQ,2016-06-23,101.373,102.01,102.02,100.915,18639301
QQQ,2016-06-24,98.2766,97.7761,99.8641,97.5703,67570800
QQQ,2016-06-27,97.1567,95.842,97.1567,95.4283,47886555
QQQ,2016-06-28,96.898,97.9329,97.9819,96.8683,26941963
QQQ,2016-06-29,98.7071,99.678,99.8841,98.6775,29604307
QQQ,2016-06-30,99.8741,100.835,100.905,99.5121,31939862
QQQ,2016-07-01,100.796,101.364,101.728,100.756,19860517
QQQ,2016-07-05,100.875,100.726,100.954,100.169,20445873
QQQ,2016-07-06,100.249,101.571,101.62,99.922,23888362
QQQ,2016-07-07,101.649,101.864,102.089,101.393,17849160
QQQ,2016-07-08,102.385,103.434,103.493,102.238,25190065
QQQ,2016-07-11,103.774,104.001,104.392,103.756,19244096
QQQ,2016-07-12,104.619,104.52,104.815,104.392,22259588
QQQ,2016-07-13,104.815,104.296,104.845,104.286,16697054
QQQ,2016-07-14,104.982,105.001,105.187,104.727,16189969
QQQ,2016-07-15,105.215,104.825,105.295,104.579,14584801
QQQ,2016-07-18,104.885,105.532,105.705,104.875,20409274
QQQ,2016-07-19,105.167,105.128,105.474,104.953,14200035
QQQ,2016-07-20,105.715,106.363,106.559,105.59,17408738
QQQ,2016-07-21,106.441,106.109,106.648,105.833,16391748
QQQ,2016-07-22,106.208,106.559,106.678,105.863,13643247
QQQ,2016-07-25,106.481,106.568,106.598,106.208,12827092
QQQ,2016-07-26,106.539,106.688,107.068,106.149,17010954
QQQ,2016-07-27,107.608,107.444,107.726,106.982,24540033
QQQ,2016-07-28,107.608,107.824,107.952,107.265,15275495
QQQ,2016-07-29,108.071,108.061,108.364,107.716,21046142
QQQ,2016-08-01,108.136,108.657,108.903,108.012,14554281
QQQ,2016-08-02,108.502,107.805,108.587,107.088,20543686
QQQ,2016-08-03,107.726,108.166,108.176,107.648,12197488
QQQ,2016-08-04,108.146,108.493,108.597,107.874,12601995
QQQ,2016-08-05,109.04,109.501,109.735,108.903,16890543
QQQ,2016-08-08,109.541,109.381,109.589,109.04,11777168
QQQ,2016-08-09,109.451,109.627,109.983,109.401,13542917
QQQ,2016-08-10,109.667,109.363,109.716,109.069,12088660
QQQ,2016-08-11,109.706,109.815,110.039,109.501,9024343
QQQ,2016-08-12,109.627,109.895,109.905,109.511,18618660
QQQ,2016-08-15,110.011,110.353,110.61,110.001,11103648
QQQ,2016-08-16,110.136,109.745,110.155,109.726,12524067
QQQ,2016-08-17,109.775,109.954,109.992,109.188,13532897
QQQ,2016-08-18,109.845,109.983,110.126,109.647,9368516
QQQ,2016-08-19,109.795,109.954,110.185,109.481,15952520
QQQ,2016-08-22,109.785,110.03,110.215,109.589,14129980
QQQ,2016-08-23,110.433,110.225,110.647,110.175,11591806
QQQ,2016-08-24,110.155,109.521,110.295,109.168,17934692
QQQ,2016-08-25,109.238,109.353,109.667,109.118,23744020
QQQ,2016-08-26,109.391,109.501,110.205,108.854,23409683
QQQ,2016-08-29,109.531,109.647,109.944,109.511,11316340
QQQ,2016-08-30,109.451,109.305,109.785,108.932,18420707
QQQ,2016-08-31,109.138,109.188,109.305,108.764,15001736
QQQ,2016-09-01,109.238,109.461,109.599,108.726,19617787
QQQ,2016-09-02,110.001,109.815,110.225,109.411,18074222
QQQ,2016-09-06,109.983,110.493,110.493,109.755,16871636
QQQ,2016-09-07,110.59,110.561,110.754,110.136,14150046
QQQ,2016-09-08,110.235,109.925,110.255,109.627,18634075
QQQ,2016-09-09,109.002,107.147,109.266,107.127,47016742
QQQ,2016-09-12,106.549,109.089,109.247,106.539,40638672
QQQ,2016-09-13,108.55,108.116,108.864,107.578,37720290
QQQ,2016-09-14,108.255,108.657,109.228,108.206,25229358
QQQ,2016-09-15,108.707,110.325,110.453,108.677,32509862
QQQ,2016-09-16,110.175,110.245,110.363,109.696,24731572
QQQ,2016-09-19,110.503,109.765,110.873,109.56,16972556
QQQ,2016-09-20,110.145,109.983,110.413,109.785,10888565
QQQ,2016-09-21,110.413,111.069,111.226,109.795,28085162
QQQ,2016-09-22,111.717,111.941,112.079,111.589,18339544
QQQ,2016-09-23,111.785,111.226,111.863,111.079,17265619
QQQ,2016-09-26,110.59,110.285,110.724,110.126,16165068
QQQ,2016-09-27,110.255,111.382,111.431,110.108,18057649
QQQ,2016-09-28,111.491,111.569,111.639,111.012,14583655
QQQ,2016-09-29,111.382,110.764,111.589,110.285,23853675
QQQ,2016-09-30,111.069,111.589,111.932,110.953,21745966
QQQ,2016-10-03,111.402,111.422,111.569,111.012,16026671
QQQ,2016-10-04,111.727,111.265,112.02,110.843,19973187
QQQ,2016-10-05,111.569,111.658,112.029,111.539,15088343
QQQ,2016-10-06,111.501,111.599,111.843,111.069,11354508
QQQ,2016-10-07,111.727,111.353,111.872,110.813,17212538
QQQ,2016-10-10,111.922,112.079,112.334,111.892,13742680
QQQ,2016-10-11,111.961,110.453,112.0,109.983,24723103
QQQ,2016-10-12,110.513,110.363,110.744,110.03,13593875
QQQ,2016-10-13,109.627,109.983,110.265,109.002,23066055
QQQ,2016-10-14,110.513,110.098,110.972,110.039,18504746
QQQ,2016-10-17,110.058,109.805,110.255,109.667,13571316
QQQ,2016-10-18,111.089,110.784,111.303,110.724,16231297
QQQ,2016-10-19,110.695,110.774,110.943,110.571,13685060
QQQ,2016-10-20,110.61,110.637,110.893,110.001,17283263
QQQ,2016-10-21,110.724,111.069,111.129,110.353,13616208
QQQ,2016-10-24,111.794,112.423,112.5,111.755,16111118
QQQ,2016-10-25,112.471,112.049,112.51,111.872,16188682
QQQ,2016-10-26,111.303,111.275,111.892,110.953,19176386
QQQ,2016-10-27,111.765,110.764,111.853,110.6,16964293
QQQ,2016-10-28,110.413,110.058,111.031,109.726,31927668
QQQ,2016-10-31,110.463,109.973,110.463,109.915,19945353
QQQ,2016-11-01,110.145,109.158,110.165,108.225,24997664
QQQ,2016-11-02,109.098,108.295,109.334,108.022,28679844
QQQ,2016-11-03,108.136,107.206,108.483,107.078,38514675
QQQ,2016-11-04,106.882,106.817,107.676,106.638,28719587
QQQ,2016-11-07,108.558,109.381,109.481,108.414,25452249
QQQ,2016-11-08,109.257,110.068,110.571,109.011,20018803
QQQ,2016-11-09,108.804,110.58,110.764,108.707,70452177
QQQ,2016-11-10,111.059,108.834,111.275,107.355,69167031
QQQ,2016-11-11,108.325,108.864,109.098,107.972,38216611
QQQ,2016-11-14,108.903,107.766,109.002,107.187,38196373
QQQ,2016-11-15,108.578,109.266,109.627,108.444,33824864
QQQ,2016-11-16,108.794,109.895,109.973,108.774,15895257
QQQ,2016-11-17,109.845,110.685,110.705,109.618,19038413
QQQ,2016-11-18,110.754,110.275,111.022,110.165,16145077
QQQ,2016-11-21,110.533,111.392,111.521,110.503,19944638
QQQ,2016-11-22,111.833,111.765,112.049,111.481,18591191
QQQ,2016-11-23,111.382,111.313,111.511,110.823,19490230
QQQ,2016-11-25,111.431,111.668,111.717,111.313,7158120
QQQ,2016-11-28,111.511,111.402,111.941,111.303,11838922
QQQ,2016-11-29,111.501,111.804,112.364,111.207,19433924
QQQ,2016-11-30,111.922,110.433,111.99,110.403,29563293
QQQ,2016-12-01,110.403,108.578,110.413,108.404,38142468
QQQ,2016-12-02,108.677,108.794,109.208,108.335,33404527
QQQ,2016-12-05,109.353,109.608,110.03,108.844,20346944
QQQ,2016-12-06,109.865,109.865,110.039,109.411,15938936
QQQ,2016-12-07,109.637,111.255,111.382,109.324,25786556
QQQ,2016-12-08,111.294,111.461,111.737,111.089,17551294
QQQ,2016-12-09,111.892,112.354,112.393,111.863,17877177
QQQ,2016-12-12,111.814,111.823,112.069,111.353,19134055
QQQ,2016-12-13,112.206,113.244,113.834,112.177,44235177
QQQ,2016-12-14,113.324,113.022,113.726,112.695,27996790
QQQ,2016-12-15,113.176,113.195,113.834,112.903,22085654
QQQ,2016-12-16,113.402,112.785,113.629,112.559,22890709
QQQ,2016-12-19,112.903,113.234,113.911,112.735,15390501
QQQ,2016-12-20,113.54,113.659,113.852,113.441,11792626
QQQ,2016-12-21,113.659,113.55,113.765,113.324,7100668
QQQ,2016-12-22,113.57,113.264,113.609,112.825,15654467
QQQ,2016-12-23,113.118,113.324,113.373,112.973,7414049
QQQ,2016-12-27,113.55,113.901,114.558,113.52,16274247
QQQ,2016-12-28,114.138,113.04,114.266,112.963,17196867
